AFM	PCSK4
AFM	ID3
AFM	SUB1
AFM	GTF2A2
AFTPH	AP1G2
AFTPH	AP1G1
AFTPH	GGA2
AFTPH	GGA1
AFTPH	GGA3
AGAP1	GUCY1B1
AGAP2	HOMER1
AGAP2	EPB41L1
AGAP2	PIK3R1
AGAP2	PLCG1
AGER	S100P
AGER	HMGB1
AGER	S100A12
AGER	NCK1
AGER	S100A1
AGER	S100B
AGFG1	SYNJ2
AGFG1	DNM3
AGFG1	RNF216
AGFG1	AAK1
AGFG1	EPS15
AGFG1	GAK
AGFG1	CLTCL1
AGFG1	PKIA
AGFG1	DNM1
AGFG1	EPS15L1
AGFG1	OCRL
AGFG1	DNM2
AGFG1	VAMP7
AGFG1	CLTC
AGFG1	XPO1
AGFG1	HIP1R
AGFG1	AP2B1
AGFG1	CLTB
AGFG2	EPS15L1
AGFG2	EPS15
AGGF1	BLOC1S6
AGK	PDLIM1
AGK	HCK
AGK	SNX4
AGL	PRKAB1
AGL	SMAD3
AGO1	DCP2
AGO1	DICER1
AGO2	DCP2
AGO2	DDX20
AGO2	XRN1
AGO2	DICER1
AGO2	AGO1
AGO2	GEMIN4
AGO3	DICER1
AGO4	DICER1
AGPAT4	CRK
AGR3	DAG1
AGRN	ATN1
AGRN	LRP4
AGRN	DAG1
AGRN	GFI1B
AGRP	MC5R
AGRP	MC4R
AGRP	GHRL
AGT	EWSR1
AGT	F2
AGT	PLPPR3
AGTPBP1	PPFIA4
AGTPBP1	CYCS
AGTPBP1	ENO1
AGTPBP1	PPFIA1
AGTR1	RAF1
AGTR1	GNG11
AGTR1	GNB2
AGTR1	PLCG1
AGTR1	THOP1
AGTR1	ARRB2
AGTR1	JAK2
AGTR1	HRAS
AGTR1	GRK3
AGTR1	GNAQ
AGTR1	GPRASP1
AGTR1	AGT
AGTR1	ARRB1
AGTR1	RAB5A
AGTR1	EGFR
AGTR1	GNA15
AGTRAP	PITPNC1
AGTRAP	PBX3
AGTRAP	AGTR1
AGXT	SNCAIP
AGXT	PLPPR3
AGXT	EWSR1
AGXT	PEX5
AGXT	PRG2
AGXT	AGTR1
AHCTF1	RANBP2
AHCTF1	NUP85
AHCTF1	SEC13
AHCTF1	NUP43
AHCTF1	NUP37
AHCTF1	NUP107
AHCTF1	NUP160
AHCTF1	NDEL1
AHCTF1	SMC3
AHCTF1	PPP1CC
AHCTF1	PDS5B
AHCTF1	PDS5A
AHCTF1	SMC1A
AHCY	MCC
AHCY	PINX1
AHCYL1	AHCYL2
AHCYL1	ITPR1
AHDC1	ATXN1
AHI1	B9D1
AHI1	B9D2
AHI1	SCLT1
AHI1	DCTN2
AHNAK	AKT1
AHNAK	XRCC4
AHNAK	S100B
AHNAK	CDKN2A
AHRR	MIA3
AHRR	ARNT
AHSA1	RAB5IF
AHSA1	PHLDA3
AHSA1	GCH1
AHSA1	GSTK1
AHSA1	CFTR
AHSA1	HSP90AA1
AHSA1	NEK6
AHSA1	PTP4A3
AHSA1	HSP90AA2P
AHSA2P	HSP90AA2P
AHSA2P	HSP90AA1
AHSG	ABL1
AHSG	DCN
AHSG	RRAS2
AHSG	INSR
AHSG	ALB
AHSG	FBXO2
AICDA	RPA1
AIF1	ACTA1
AIFM1	TRADD
AIFM1	HSPA1A
AIFM1	TNFRSF1B
AIFM1	RELA
AIFM1	STC2
AIFM1	MAP3K1
AIFM1	TNFRSF14
AIFM1	MAP3K3
AIFM1	CASP3
AIFM1	NFKB2
AIFM1	CFTR
AIMP1	DARS
AIMP1	MAPK14
AIMP1	IKBKE
AIMP1	IARS
AIMP1	MCC
AIMP1	KARS
AIMP1	MARS
AIMP1	IQGAP1
AIMP1	EPRS
AIMP1	RARS
AIMP1	QARS
AIMP1	LARS
AIP	CSNK2A1
AIP	AHR
AIP	HSP90AA1
AIP	ARNT
AIP	NKX2-1
AIRE	CRK
AIRE	ABL1
AIRE	NCK1
AIRE	CREBBP
AJAP1	CTNNB1
AJUBA	GFI1B
AJUBA	RARA
AJUBA	GRB2
AJUBA	ACVR1
AJUBA	BCAR1
AJUBA	RARG
AJUBA	SFN
AJUBA	CTNNA1
AJUBA	ACTA1
AK1	FHL2
AK2	SHBG
AK2	MCC
AK2	IKBKE
AK5	TRIM46
AK5	C7orf26
AK5	CPNE6
AK5	STRN4
AK5	UGDH
AK9	PEA15
AKAP1	PRKAR2B
AKAP1	PRKAR2A
AKAP1	PRKAR1B
AKAP1	MYCBP
AKAP1	CAV1
AKAP1	PRKAR1A
AKAP10	SLC9A3R1
AKAP10	PRKAR2A
AKAP10	PRKAR2B
AKAP10	PRKAR1A
AKAP11	PRKAR2B
AKAP11	PPP1CB
