prestige	stresscent	gilschmidt
2160	11	181631	0.247193161409554
2161	33	1254324	0.314629503699422
2162	9	115683	0.26862129692593
2163	4	18473	0.252377900995608
2164	8	55779	0.295344748420523
2165	17	353582	0.299328114011357
2166	3	272	0.236805373925471
2167	1	0	0.226380243297125
2168	1	0	0.24113427257879
2169	2	0	0.230323940878681
2170	8	52602	0.254320471017636
2171	3	100556	0.234847256368673
2172	5	13749	0.246986539031565
2173	9	61677	0.252319052849979
2174	11	45805	0.262652932526588
2175	3	658	0.221749644973744
2176	14	251897	0.296101782590226
2177	55	2051414	0.33231388002532
2178	3	22438	0.239317099963377
2179	8	51012	0.233332316204888
2180	12	248137	0.295189273072809
2181	9	70915	0.282955833376907
2182	29	487585	0.311671112970982
2183	10	31452	0.201356122822638
2184	42	1878803	0.314061364811985
2185	4	14607	0.241507704021426
2186	5	6642	0.254596839345999
2187	30	1057500	0.302432390019334
2188	26	733069	0.286001406543313
2189	1	0	0.217498968341159
2190	5	32128	0.259788262918967
2191	5	22048	0.259644847808507
2192	6	28105	0.238343272131255
2193	7	10573	0.264771611073314
2194	4	13316	0.218516532696328
2195	4	37229	0.285222576764118
2196	19	317829	0.297320883681171
2197	20	296613	0.288434087170792
2198	11	59936	0.276071036250439
2199	9	63968	0.254025213161046
2200	2	81489	0.254920140886803
2201	13	196778	0.282654472749657
2202	5	18717	0.264911393582194
2203	6	192413	0.270396040754866
2204	5	83526	0.251355250998223
2205	25	143135	0.262432651566651
2206	5	30142	0.239779457492742
2207	2	384	0.239052355960075
2208	49	216140	0.294361330520225
2209	3	77050	0.251275624371545
2210	7	112882	0.239895410135241
2211	34	641184	0.318701795376984
2212	2	3048	0.250679296495832
2213	22	87339	0.259953618942983
2214	10	35579	0.264021260890522
2215	4	10915	0.246580559478752
2216	4	8791	0.253013896880596
2217	5	80563	0.259792912648993
2218	14	154895	0.28197909946352
2219	6	114966	0.271611654548288
2220	10	79052	0.277575223913545
2221	2	114	0.201971146487825
2222	3	8659	0.254601924988214
2223	3	1974	0.207539101323444
2224	3	3414	0.253922192580178
2225	4	13256	0.25619910725182
2226	16	426979	0.310984115359783
2227	5	82722	0.278699441451161
2228	11	271304	0.292193393896045
2229	67	2844287	0.33601680877402
2230	4	106512	0.238796475504633
2231	14	142491	0.286069990061183
2232	10	292911	0.287664120939457
2233	1	0	0.17199302927974
2234	3	11053	0.22413805629661
2235	3	2049	0.239379144798397
2236	6	17436	0.25757441021079
2237	73	3686298	0.344586842426441
2238	10	98419	0.249578618216467
2239	38	775775	0.312273543617354
2240	15	28754	0.256635600657922
2241	6	32570	0.270167186855195
2242	16	286375	0.301878200321971
2243	8	118802	0.242715035483242
2244	12	219731	0.275244256130361
2245	15	224959	0.264972566592836
2246	12	274811	0.277450843635374
2247	72	1226349	0.276561292159955
2248	1	0	0.171756183656588
2249	8	187256	0.244351595147996
2250	2	5784	0.212766366565352
2251	2	648	0.251789855451503
2252	11	140807	0.274275078028264
2253	2	1332	0.257911370333543
2254	5	9538	0.27368572474759
2255	11	136961	0.267786089170181
2256	2	385	0.195042176926126
2257	15	21085	0.257824623807763
2258	7	9812	0.247378278786175
2259	13	119624	0.280623121944963
2260	25	387591	0.292550260675469
2261	1	0	0.255256374489239
2262	3	81632	0.265595194504002
2263	14	278781	0.24026346532754
2264	1	0	0.226398987521289
2265	5	15781	0.221729496143635
2266	3	2158	0.192070805701369
2267	5	810	0.237591759515956
2268	8	39210	0.239165402521309
2269	1	0	0.222219267706274
2270	8	5727	0.246852859293345
2271	13	90375	0.292471796481294
2272	16	169698	0.294217188889449
2273	6	3741	0.230056726706305
2274	4	13794	0.275661860008237
2275	6	88458	0.272420852876712
2276	17	301065	0.272188802287651
2277	5	47560	0.235677669090335
2278	6	15826	0.262135504757238
2279	15	116482	0.287353896764346
2280	3	4103	0.256050751803207
2281	4	21451	0.265871417528304
2282	5	11985	0.242877049513803
2283	9	135472	0.298245308131774
2284	24	952752	0.2829546709444
2285	3	5805	0.22687398650416
2286	5	10278	0.233951311514472
2287	11	149576	0.264856759254399
2288	43	119824	0.289941762131414
2289	15	122282	0.277251922372738
2290	46	1505769	0.334904070257398
2291	5	4903	0.253739254764505
2292	9	63559	0.271213521414894
2293	12	194659	0.277878328189552
2294	5	86251	0.274597362440626
2295	4	20952	0.246027386909835
2296	12	72293	0.279718168238837
2297	6	108	0.222078661807704
2298	9	222813	0.280713210464199
2299	7	13670	0.270836021458487
2300	2	466	0.208066603507848
2301	7	50706	0.232415156957447
2302	3	12	0.21130930585344
2303	9	4241	0.264265517020899
2304	41	261706	0.298807344248549
2305	11	80085	0.273435801758743
2306	5	526	0.232119027276476
2307	2	0	0.225485993656996
2308	2	6226	0.211925249777696
2309	33	1250918	0.304166158102424
