gene	gene.y
MAP3K7	NLK
MAP3K7	SMAD6
MAP3K7	HIPK2
MAP3K7	CDC37
MAP3K7	HIST1H4D
MAP3K7	DARS
MAPK15	CLIC3
MAPK8IP2	FGF13
MAPK8IP3	MAPK8IP2
MAPK8IP3	RIC8B
MAPRE1	KIF2C
MAPRE1	KIF2A
MAPRE1	TUBGCP2
MAPRE1	NUF2
MAT2A	MAT2B
MCC	GANAB
MCC	DUSP3
MCC	TKT
MCC	UCHL1
MCC	TRMT112
MCC	CYCS
MCC	DDOST
MCC	UBA2
MCC	SMC4
MCC	CRYZ
MCC	RAB7A
MCC	DRG1
MCC	PAFAH1B2
MCC	APRT
MCC	PFKM
MCC	CLIC4
MCC	ECH1
MCC	CUL2
MCC	GCLM
MCC	MRM3
MCC	CUTA
MCC	SAR1A
MCC	NUP155
MCC	RAB2A
MCC	PDCD5
MCC	GSPT1
MCC	RPS6KA3
MCC	KCTD12
MCC	SEPT2
MCC	NFKBIB
MCC	MAPRE1
MCC	MTHFD1
MCHR2	GNAT3
MCHR2	GNG7
MCM10	PAK3
MCM10	CLSPN
MCM10	DBF4
MCM10	MCM8
MCM10	CEP72
MDM4	USP7
MED1	MED12
MED1	NR4A1
MED1	GATA3
MED1	ESRRG
MED1	MED29
MED1	MAP3K7
MED1	VDR
MED1	CDK19
MED1	ESR2
MED12	MED29
MED12	CDK19
MED24	MED29
MED24	CDK19
MED29	TRMT112
MED29	MED18
MED29	TMLHE
MED29	HSPA1L
MED29	CDK19
MED29	DIMT1
MIS18A	CENPI
MIS18A	CENPW
MMP1	CCL2
MMP1	CCL13
MMP3	CCL13
MMP3	CCL2
MMP9	THBS2
MORF4L2	MRFAP1
MORF4L2	ING3
MORF4L2	MPDU1
MPDU1	HERC2
MPP6	LIN7A
MPZL1	EXOSC4
MRPL32	MRPL55
MRPL32	MRPS21
MRPL32	MRPL41
MRPL32	MRPS5
MRPL4	MRPS21
MRPL4	MRPL55
MRPL4	MRPS5
MRPL4	MRPL41
MRPL4	MRPL32
MRPL55	MRPL41
MRPS21	MRPL55
MRPS5	MRPL41
MRPS5	MRPS21
MSH2	MSH3
MSH2	CHEK1
MSH2	DCLRE1C
MSH2	NBN
MSH2	RCOR1
MSH2	MCC
MSH4	TOP3A
MTIF2	MRPS5
MTNR1A	RAB10
MTOR	TERT
MXI1	SIN3B
MYL1	TNNC2
MYOZ2	ACTN2
MYOZ2	TCAP
NAP1L5	HAP1
NAPA	STX8
NAPA	BET1L
NAPG	RAB11FIP5
NAPG	STX8
NBN	CLSPN
NBN	RAD9B
NBN	RFC4
NBN	TIMELESS
NBN	DCLRE1C
NBN	RAD1
NBN	XRCC1
NCAPD2	NCAPG
NCAPD2	NCAPH
NCAPH	NCAPG
NCKAP1	WASF2
NCOR1	MYBL2
NCOR1	ACTN2
NCOR1	KIF11
NCOR1	CBFA2T2
NCOR1	C1D
NCOR1	HDAC6
NCOR1	SIN3B
NCOR1	SF3B3
NCOR1	DDX20
NDE1	MAPRE1
NEFL	NEFH
NEU1	GLB1
NFE2	YAP1
NFE2	CREBZF
NFKB2	RARS
NFKB2	FBXW11
NFKB2	CAD
NFKB2	FBXW7
NFKB2	EEF1A2
NFKB2	MATR3
NFKB2	COMMD2
NFKB2	TUBGCP2
NFKB2	NR5A1
