Gene1	Gene2
70554	VBP1	PFDN4
70555	VBP1	TUBA4A
70556	VBP1	VHL
70557	VBP1	TUBA1A
70558	VBP1	PFDN5
70559	VBP1	MAP3K3
70560	VBP1	TUBB4A
70561	VBP1	TUBB1
70562	VBP1	TUBB2A
70563	VBP1	TUBB2B
70564	VCAM1	CCL17
70565	VCAM1	ITGB1
70566	VCAM1	ELANE
70567	VCAM1	ITGB7
70568	VCAM1	MSN
70569	VCAM1	CTSG
70570	VCAM1	ITGAD
70571	VCAM1	CCL22
70572	VCAN	CD44
70573	VCAN	ACAN
70574	VCAN	ADAMTS1
70575	VCAN	ITGB1
70576	VCAN	FBN1
70577	VCAN	SELPLG
70578	VCL	COL8A1
70579	VCL	PXN
70580	VCL	PRKCA
70581	VCL	ACTC1
70582	VCL	ACTA2
70583	VCL	SCFD1
70584	VCL	CLTC
70585	VCL	CDH1
70586	VCL	HSPA8
70587	VCL	ANXA2
70588	VCL	ITGB5
70589	VCL	EIF4E
70590	VCL	PSME1
70591	VCL	TFRC
70592	VCL	SNRPE
70593	VCL	RIT2
70594	VCL	PABPC1
70595	VCL	UBAP2L
70596	VCL	PTK2
70597	VCL	EEF1A1
70598	VCL	VIM
70599	VCL	ITGA2B
70600	VCL	RPS19
70601	VCL	KHDRBS1
70602	VCL	PDIA3
70603	VCL	SFPQ
70604	VCL	TPM1
70605	VCL	SERPINH1
70606	VCL	U2AF2
70607	VCL	ITGB1
70608	VCL	PSMB1
70609	VCL	LGALS1
70610	VCL	HNRNPH1
70611	VCL	VASP
70612	VCL	FZR1
70613	VCL	S100A8
70614	VCL	RPSA
70615	VCL	UBC
70616	VCL	SORBS2
70617	VCL	B2M
70618	VCL	TGFB1I1
70619	VCL	SNRPA
70620	VCL	AMH
70621	VCL	DDX1
70622	VCL	SNRPF
70623	VCL	MYH9
70624	VCL	LGALS3BP
70625	VCL	NRAP
70626	VCL	RPS20
70627	VCL	TPM2
70628	VCL	FEN1
70629	VCL	FXR1
70630	VCL	DDX3X
70631	VCL	GSN
70632	VCL	TPM3
70633	VCL	CIRBP
70634	VCL	PSMA2
70635	VCL	CTNNA1
70636	VCL	NONO
70637	VCL	LRP1
70638	VCL	FUS
70639	VCL	RPS21
70640	VCL	PRPF40A
70641	VCL	SLC25A5
70642	VCL	ACTN2
70643	VCL	FYN
70644	VCL	SORBS1
70645	VCL	HNRNPK
70646	VCL	S100A9
70647	VCL	HNRNPH3
70648	VCL	BCAR1
70649	VCL	CTNNB1
70650	VCL	ATP5F1B
70651	VCL	PRKN
70652	VCL	MYL6
70653	VCL	ITGB3
70654	VCL	PKD1
70655	VCL	FN1
70656	VCL	ACTA1
70657	VCL	NUDT21
70658	VCL	CYCS
70659	VCL	LRPAP1
70660	VCL	S100A13
70661	VCL	PFN1
70662	VCL	TLN1
70663	VCL	SRC
70664	VCL	SNRPG
70665	VCP	UBC
70666	VCP	UBA52
70667	VCP	HSP90AA1
70668	VCP	RFC5
70669	VCP	WRN
70670	VCP	CFTR
70671	VCP	ARRB2
70672	VCP	NFKBIE
70673	VCP	BRCA1
70674	VCP	NFKBIA
70675	VCP	HIF1A
70676	VCP	JAK2
70677	VCP	RPS27A
70678	VCP	NFKBIB
70679	VCP	ATXN3
70680	VCP	AMFR
70681	VCP	PTPN3
70682	VCP	PCNA
70683	VCP	MCC
70684	VCP	MAP3K3
70685	VCPIP1	FAF1
70686	VCPIP1	VCP
70687	VCPIP1	NSFL1C
70688	VCPIP1	SMAD9
70689	VDAC1	HK1
70690	VDAC1	TOMM20
70691	VDAC1	RAF1
70692	VDAC1	KCNA4
70693	VDAC1	PRKCE
70694	VDAC1	MCL1
70695	VDAC1	BCL2L11
70696	VDAC1	ACAT2
70697	VDAC1	KIF5B
70698	VDAC1	MCC
70699	VDAC1	BAK1
70700	VDAC1	GSN
70701	VDAC1	CYCS
70702	VDAC1	DYNLT1
70703	VDAC1	TPM3
70704	VDAC1	IKBKE
70705	VDAC1	DYNLT3
70706	VDAC1	BAX
70707	VDAC1	CBR1
70708	VDAC1	FSCN1
70709	VDAC1	HSPA9
70710	VDAC1	TUBA4A
70711	VDAC1	BCL2L1
70712	VDAC1	CASP4
70713	VDAC2	RPS3A
70714	VDAC2	KCNA4
70715	VDAC2	MME
70716	VDAC2	BAK1
70717	VDAC2	CYCS
70718	VDAC2	HK1
70719	VDR	SMARCA4
70720	VDR	NR1H2
70721	VDR	BAG1
70722	VDR	JUN
70723	VDR	RB1
70724	VDR	PPP2CA
70725	VDR	MED1
70726	VDR	NCOA1
70727	VDR	SMARCD1
70728	VDR	CCND3
70729	VDR	NCOA3
70730	VDR	FOS
70731	VDR	CREBBP
70732	VDR	KDM5A
70733	VDR	RXRG
70734	VDR	SMAD3
70735	VDR	STAT1
70736	VDR	RXRA
70737	VDR	CSNK2A1
70738	VDR	NCOA2
70739	VEGFA	FLT1
70740	VEGFB	FLT1
70741	VEGFB	NRP1
70742	VEGFB	VEGFA
70743	VEPH1	SMAD1
70744	VEPH1	ACVR1
70745	VEPH1	TGFBR1
70746	VEPH1	BMPR1B
70747	VEZT	MYO7A
70748	VGLL1	TEAD3
70749	VGLL1	TEAD1
70750	VGLL1	TEAD4
70751	VGLL2	TEAD1
70752	VGLL2	MEF2C
70753	VGLL4	TEAD1
70754	VGLL4	MEF2C
70755	VGLL4	MEF2A
70756	VHL	CDKN2A
70757	VHL	S100A11
70758	VHL	HDAC2
70759	VHL	CDK2
70760	VHL	HDAC1
70761	VHL	SP1
70762	VHLL	HIF1A
70763	VIL1	PPM1B
70764	VIL1	SRC
70765	VIL1	PLCG1
70766	VIL1	ACTA1
70767	VIM	MAFG
70768	VIM	RAD51
70769	VIM	MDM2
70770	VIM	RELA
70771	VIM	PKN1
70772	VIM	SMAD3
70773	VIM	CDK1
70774	VIM	CASP8
70775	VIP	MEOX2
70776	VIP	MME
70777	VIP	MEP1A
70778	VIP	UBQLN4
70779	VIP	VIPR1
70780	VIPAS39	VPS33B
70781	VIPR1	GNAQ
70782	VIPR1	CALM1
70783	VIPR1	ADCYAP1
70784	VIPR1	GNAS
70785	VIPR1	GPRASP1
70786	VIPR1	WASL
70787	VIPR1	FLNB
70788	VIPR1	GNAI1
70789	VIPR2	ADCYAP1
70790	VIPR2	VIP
70791	VLDLR	CLTC
70792	VLDLR	DAB1
70793	VLDLR	AP2B1
70794	VLDLR	CD36
70795	VLDLR	CLU
70796	VLDLR	LRPAP1
70797	VLDLR	APOE
70798	VLDLR	LPL
70799	VMA21	VHL
70800	VMA21	IKBKE
70801	VNN2	ITGB2
70802	VOPP1	TFG
70803	VOPP1	SNAPIN
70804	VPREB1	LGALS1
70805	VPREB1	ABL1
70806	VPREB1	IGHM
70807	VPREB3	VPREB1
70808	VPREB3	IGHM
70809	VPS11	STX1A
70810	VPS11	MARK3
70811	VPS11	BCAR1
70812	VPS11	LSM1
70813	VPS13A	NCK1
70814	VPS13A	ABL1
70815	VPS13A	PIK3R1
70816	VPS18	CCNA1
70817	VPS18	VPS11
70818	VPS18	STX1A
70819	VPS25	VPS36
70820	VPS25	CHMP6
70821	VPS25	UBC
70822	VPS25	SNF8
70823	VPS26A	VPS29
70824	VPS26A	SNX3
70825	VPS28	PDCD6IP
70826	VPS29	FRA10AC1
70827	VPS29	SNX2
70828	VPS29	SNX1
70829	VPS29	RGS2
70830	VPS29	SNX6
70831	VPS33A	VPS18
70832	VPS33A	VPS11
70833	VPS33A	TNKS
70834	VPS35	MTNR1B
70835	VPS35	VPS26A
70836	VPS35	ZNF512B
70837	VPS35	VPS26B
70838	VPS35	MCC
70839	VPS35	VHL
70840	VPS35	ARRB2
70841	VPS35	SNX1
70842	VPS35	SNX3
70843	VPS35	VPS29
70844	VPS36	UBC
70845	VPS36	TSG101
70846	VPS36	RPS27A
70847	VPS36	SNF8
70848	VPS36	UBA52
70849	VPS37A	CHMP4C
70850	VPS37A	VPS28
70851	VPS37A	HGS
70852	VPS37A	TSG101
70853	VPS37A	CHMP4B
70854	VPS37B	VPS28
70855	VPS37B	CHMP1B
70856	VPS37B	TSG101
70857	VPS37B	VPS37A
70858	VPS37B	CHMP6
70859	VPS37B	CHMP2A
70860	VPS37B	CHMP4C
70861	VPS37B	CHMP3
70862	VPS37B	CHMP4B
70863	VPS37C	CHMP2A
70864	VPS37C	CHMP4C
70865	VPS37C	HGS
70866	VPS37C	CHMP4B
70867	VPS37C	VPS37A
70868	VPS37C	TSG101
70869	VPS37C	VPS28
70870	VPS37C	PDCD6IP
70871	VPS37C	CHMP3
70872	VPS37C	ABI2
70873	VPS37D	HGS
70874	VPS37D	TSG101
70875	VPS39	VPS41
70876	VPS39	VPS33A
70877	VPS39	VPS18
70878	VPS41	VPS33A
70879	VPS41	VPS18
70880	VPS41	AP3D1
70881	VPS45	RBSN
70882	VPS45	STX16
70883	VPS45	VPS18
70884	VPS45	COG3
70885	VPS45	RAB5A
70886	VPS45	VPS11
70887	VPS45	COG4
70888	VPS4B	CHMP4C
70889	VPS4B	PDCD6IP
70890	VPS4B	CHMP4B
70891	VPS4B	CHMP1A
70892	VPS51	COG3
70893	VPS51	COG5
70894	VPS51	VTI1A
70895	VPS51	GOLGA1
70896	VPS51	STX6
70897	VPS51	VPS53
70898	VPS51	VPS54
70899	VPS52	ARL1
70900	VPS52	STX6
70901	VPS52	VPS53
70902	VPS52	COG4
70903	VPS52	RAB9A
70904	VPS52	VPS51
70905	VPS52	VPS54
70906	VPS52	COG2
70907	VPS52	VAMP3
70908	VPS52	VAMP4
70909	VPS52	COG3
70910	VPS52	COG7
70911	VPS52	RAB6B
70912	VPS52	ARFRP1
70913	VPS52	COG5
70914	VPS52	COG6
70915	VPS52	COG8
70916	VPS52	RAB6A
70917	VPS52	STX16
70918	VPS52	RAB9B
70919	VPS53	RAB6B
70920	VPS53	RAB9A
70921	VPS53	STX16
70922	VPS53	COG5
70923	VPS53	VAMP3
70924	VPS53	COG3
70925	VPS53	VAMP4
70926	VPS53	STX6
70927	VPS53	COG4
70928	VPS53	RAB6A
70929	VPS54	VPS53
70930	VPS54	COG4
70931	VPS54	RAB9B
70932	VPS54	RAB6A
70933	VPS54	VAMP3
70934	VPS54	COG5
70935	VPS54	RAB6B
70936	VPS54	STX16
70937	VPS54	ARL1
70938	VPS54	RAB9A
70939	VPS54	COG3
70940	VPS54	VAMP4
70941	VPS54	STX6
70942	VPS72	MDFI
70943	VPS72	ACTC1
70944	VPS72	ATP1A1
70945	VPS72	HSPH1
70946	VPS72	CCDC85B
70947	VPS72	SSH3
70948	VPS72	TPI1
70949	VPS72	ACTA2
70950	VPS72	CALCOCO2
70951	VPS72	CAP1
70952	VPS72	MRGBP
70953	VPS72	ACTA1
70954	VPS72	MYCBP
70955	VPS72	YEATS4
70956	VPS72	RUVBL2
70957	VPS72	MORF4L1
70958	VPS72	DMAP1
70959	VPS72	LIMK1
70960	VPS72	PLSCR4
70961	VPS72	MORF4L2
70962	VPS72	ACTL6A
70963	VPS72	ZNHIT1
70964	VPS72	EWSR1
70965	VPS72	MEAF6
70966	VPS72	RUVBL1
70967	VPS72	EAF1
70968	VPS72	SSH1
70969	VPS8	SMAD9
70970	VRK1	RAN
70971	VRK3	RAN
70972	VRK3	VRK1
70973	VSIG2	CTH
70974	VSIR	PLSCR1
70975	VSIR	SMAD3
70976	VSNL1	ATXN1
70977	VSNL1	CHRNA4
70978	VSTM2L	ATXN1
70979	VSTM2L	WIPF3
70980	VSX2	PAX6
70981	VTA1	RABAC1
70982	VTA1	CDK4
70983	VTA1	NBR1
70984	VTA1	KCTD13
70985	VTA1	CAPNS1
70986	VTA1	MAGEA11
70987	VTA1	BEX3
70988	VTA1	ZBTB16
70989	VTA1	CBS
70990	VTA1	RPIA
70991	VTA1	CHMP2A
70992	VTA1	VPS4B
70993	VTCN1	BTLA
70994	VTI1A	STX6
70995	VTI1A	VAMP3
70996	VTI1A	VAMP4
70997	VTI1A	STX7
70998	VTI1A	GOLGA1
70999	VTI1A	COG4
71000	VTI1A	STX8
71001	VTI1A	RAB9A
71002	VTI1A	NAPA
71003	VTI1A	VPS53
71004	VTI1A	TGOLN2
71005	VTI1A	NAPG
71006	VTI1A	COG3
71007	VTI1A	NSF
71008	VTI1A	STX16
71009	VTI1A	VAMP8
71010	VTI1B	STX8
71011	VTI1B	GOLGB1
71012	VTI1B	TNK2
71013	VTI1B	STX6
71014	VTI1B	STX7
71015	VTI1B	VAMP4
71016	VWA5B2	XRN1
71017	VWA5B2	AMPH
71018	VWA5B2	SH3GL2
71019	VWF	GP1BA
71020	VWF	FURIN
71021	VWF	HSPA5
71022	VWF	COL1A1
71023	VWF	F8
71024	VWF	CALR
71025	VWF	ITGA2B
71026	VWF	COL1A2
71027	WAC	KRT15
71028	WAC	UBQLN4
71029	WAPL	SMC3
71030	WAPL	STAG1
71031	WAPL	RAD21
71032	WAPL	XRN1
71033	WAPL	SMC1A
71034	WARS	EEF1A1
71035	WARS	MDH2
71036	WAS	PIK3R1
71037	WAS	TRIP10
71038	WAS	ACTC1
71039	WAS	HCLS1
71040	WAS	EGFR
71041	WAS	RHOQ
71042	WAS	VASP
71043	WAS	ARPC1B
71044	WAS	HCK
71045	WAS	FYN
71046	WAS	ARPC5
71047	WAS	BTK
71048	WAS	TEC
71049	WAS	SRC
71050	WAS	CRKL
71051	WAS	ITK
71052	WAS	CSNK2A2
71053	WAS	PSTPIP1
71054	WAS	ARHGAP1
71055	WAS	NCK1
71056	WAS	RHOJ
71057	WAS	LCP2
71058	WAS	CDC42
71059	WAS	DLG1
71060	WAS	FYB1
71061	WAS	NCKIPSD
71062	WAS	WIPF1
71063	WAS	ARPC2
71064	WAS	FGR
71065	WAS	RAC1
71066	WAS	MYO1C
71067	WAS	ITSN2
71068	WAS	C5AR1
71069	WAS	PTPN12
71070	WAS	CSNK2A1
71071	WAS	PLCG1
71072	WAS	GRB2
71073	WAS	ACTR2
71074	WASF1	RAC1
71075	WASF1	GRB2
71076	WASF1	CDC42
71077	WASF1	ABL1
71078	WASF1	NCK1
71079	WASF1	FYN
71080	WASF1	NCKAP1
71081	WASF1	ABI1
71082	WASF2	ABI2
71083	WASF2	FYN
71084	WASF2	CDC42
71085	WASF2	BTK
71086	WASF2	ABI1
71087	WASF2	NCKAP1
71088	WASF2	GRB2
71089	WASF2	ACTR2
71090	WASF2	ARPC5
71091	WASF2	DOCK1
71092	WASF2	PSTPIP1
71093	WASF2	ARPC2
71094	WASF3	PIK3R1
71095	WASF3	NCKAP1
71096	WASF3	RAC1
71097	WASF3	ARPC1B
71098	WASF3	ARPC5
71099	WASF3	ACTR2
71100	WASF3	ARPC2
71101	WASF3	PIK3R2
71102	WASF3	ABI2
71103	WASHC3	NUP62
71104	WASHC3	LAMC1
71105	WASHC3	ABI2
71106	WASHC3	BLOC1S6
71107	WASHC3	MCRS1
71108	WASHC3	LUC7L2
71109	WASHC3	NDC80
71110	WASHC3	OPTN
71111	WASHC3	PCM1
71112	WASHC3	PTN
71113	WASHC4	SMAD2
71114	WASL	PTK2
71115	WASL	ITSN1
71116	WASL	CTTN
71117	WASL	ABL1
71118	WASL	WIPF1
71119	WASL	LCK
71120	WASL	EPS15
71121	WASL	AP2M1
71122	WASL	GRB2
71123	WASL	ABI1
71124	WASL	SH3GL3
71125	WASL	CDC42
71126	WASL	CLTC
71127	WASL	FYN
71128	WASL	CD44
71129	WASL	NCK1
71130	WASL	HSP90AA1
71131	WASL	AMPH
71132	WASL	MYH9
71133	WBP11	CSTF2
71134	WBP11	PQBP1
71135	WBP11	PPP1CC
71136	WBP11	PIK3R1
71137	WBP11	VIM
71138	WBP11	MCRS1
71139	WBP11	SNW1
71140	WBP11	TRIP10
71141	WBP11	ARF1
71142	WBP11	DDX5
71143	WBP11	RUNX1T1
71144	WBP11	DDX17
71145	WBP11	PRPF40A
71146	WBP11	SF3B2
71147	WBP11	SRC
71148	WBP11	NCK2
71149	WBP11	PPP1CB
71150	WBP2	NEDD4
71151	WBP2	MAGI1
71152	WBP2	WWP2
71153	WBP2	YAP1
71154	WBP2	PAX8
71155	WBP2	WWP1
71156	WBP4	LSM5
71157	WBP4	SNRNP70
71158	WBP4	HNRNPA2B1
71159	WBP4	HNRNPC
71160	WBP4	SNRPN
71161	WBP4	SRSF11
71162	WBP4	SNRPD3
71163	WBP4	DDX5
71164	WBP4	SNRPB2
71165	WBP4	LSM6
71166	WBP4	HNRNPA1
71167	WBP4	PRPF40A
71168	WBP4	POLR2F
71169	WBP4	POLR2A
71170	WBP4	SNRPD2
71171	WBP4	SF3A1
71172	WBP4	PTBP1
71173	WBP4	PRPF6
71174	WBP4	SNRNP200
71175	WBP4	SNRPE
71176	WBP4	HNRNPD
71177	WBP4	PPIE
71178	WBP4	KHDRBS1
71179	WBP4	SF3A3
71180	WBP4	SF3B3
71181	WBP4	SNRPA
71182	WBP4	HSPA8
71183	WBP4	SNRPD1
71184	WBP4	SF3B1
71185	WDCP	RUVBL2
71186	WDCP	RUVBL1
71187	WDCP	HCK
71188	WDFY3	MAP1LC3B
71189	WDR1	SKIV2L
71190	WDR1	GRB2
71191	WDR11	UBXN7
71192	WDR12	NOTCH1
71193	WDR12	BOP1
71194	WDR13	TGFBR1
71195	WDR19	IFT88
71196	WDR19	IFT27
71197	WDR19	DYNC2LI1
71198	WDR19	IFT74
71199	WDR19	TTC21B
71200	WDR19	CLUAP1
71201	WDR19	IFT43
71202	WDR19	HSPB11
71203	WDR19	TTC30A
71204	WDR19	IFT122
71205	WDR19	IFT81
71206	WDR19	KIFAP3
71207	WDR19	WDR35
71208	WDR19	IFT57
71209	WDR19	IFT172
71210	WDR19	DYNLRB2
71211	WDR19	IFT52
71212	WDR19	KIF17
71213	WDR19	IFT80
71214	WDR19	TRAF3IP1
71215	WDR19	IFT140
71216	WDR24	APPBP2
71217	WDR25	PSME3
71218	WDR26	FAF2
71219	WDR26	UBXN7
71220	WDR26	ARRB2
71221	WDR26	CUL4B
71222	WDR26	DDB1
71223	WDR26	FAF1
71224	WDR3	RRP36
71225	WDR3	PDE10A
71226	WDR3	MPHOSPH10
71227	WDR3	IMP4
71228	WDR3	NOL6
71229	WDR3	UTP20
71230	WDR3	KRR1
71231	WDR3	DDX49
71232	WDR3	DCAF13
71233	WDR3	PWP2
71234	WDR3	DHX37
71235	WDR3	NOL11
71236	WDR3	UTP15
71237	WDR3	FBL
71238	WDR3	RRP9
71239	WDR3	IMP3
71240	WDR3	UTP6
71241	WDR3	RPS7
71242	WDR3	UTP18
71243	WDR3	TBL3
71244	WDR3	RPS6
71245	WDR3	UTP3
71246	WDR3	HEATR1
71247	WDR3	DDX52
71248	WDR3	NOC4L
71249	WDR3	NOP58
71250	WDR33	PRMT1
71251	WDR33	SH3GL3
71252	WDR33	PFN2
71253	WDR33	SUMO1
71254	WDR33	GIT1
71255	WDR33	TGFBR1
71256	WDR33	ZHX1
71257	WDR34	IFT122
71258	WDR34	IFT43
71259	WDR35	BCL6
71260	WDR35	TTC21B
71261	WDR35	IFT172
71262	WDR35	KIFAP3
71263	WDR35	KIF3B
71264	WDR35	TRAF3IP1
71265	WDR35	IFT81
71266	WDR35	IFT88
71267	WDR35	IFT122
71268	WDR35	IFT80
71269	WDR35	IFT57
71270	WDR35	IFT140
71271	WDR35	CLUAP1
71272	WDR35	DYNC2LI1
71273	WDR35	KIF3C
71274	WDR35	KIF3A
71275	WDR36	RPS7
71276	WDR36	NOL6
71277	WDR36	MPHOSPH10
71278	WDR36	RRP7A
71279	WDR36	NOL11
71280	WDR36	RPS6
71281	WDR36	TBL3
71282	WDR36	RRP36
71283	WDR36	PWP2
71284	WDR36	BMS1
71285	WDR36	DHX37
71286	WDR36	DDX52
71287	WDR36	RCL1
71288	WDR36	WDR75
71289	WDR36	RRP9
71290	WDR36	UTP18
71291	WDR36	NOP58
71292	WDR36	IMP3
71293	WDR36	UTP3
71294	WDR36	WDR43
71295	WDR36	NOP14
71296	WDR36	DCAF13
71297	WDR36	UTP20
71298	WDR36	FBL
71299	WDR36	RPS14
71300	WDR36	NOC4L
71301	WDR36	UTP6
71302	WDR36	KRR1
71303	WDR36	FCF1
71304	WDR36	UTP15
71305	WDR36	UTP25
71306	WDR36	DDX49
71307	WDR36	PDCD11
71308	WDR36	WDR3
71309	WDR36	HEATR1
71310	WDR36	IMP4
71311	WDR36	WDR46
71312	WDR37	REL
71313	WDR37	EWSR1
71314	WDR4	METTL1
71315	WDR43	MPHOSPH10
71316	WDR43	NOP14
71317	WDR43	RRP7A
71318	WDR43	IMP3
71319	WDR43	WDR46
71320	WDR43	UTP20
71321	WDR43	IMP4
71322	WDR43	DDX49
71323	WDR43	UTP3
71324	WDR43	BMS1
71325	WDR43	RRP36
71326	WDR43	RCL1
71327	WDR43	HEATR1
71328	WDR43	UTP6
71329	WDR43	PWP2
71330	WDR43	TBL3
71331	WDR43	UTP18
71332	WDR43	NOC4L
71333	WDR43	RRP9
71334	WDR43	WDR3
71335	WDR43	NOP58
71336	WDR43	RPS6
71337	WDR43	FCF1
71338	WDR43	PDCD11
71339	WDR43	DCAF13
71340	WDR43	UTP15
71341	WDR43	DDX52
71342	WDR43	DHX37
71343	WDR43	FBL
71344	WDR43	KRR1
71345	WDR43	NOL11
71346	WDR43	NOL6
71347	WDR43	WDR75
71348	WDR44	SEC13
71349	WDR44	RAB11A
71350	WDR46	FCF1
71351	WDR46	FBL
71352	WDR46	UTP3
71353	WDR46	KRR1
71354	WDR46	IMP4
71355	WDR46	NOP14
71356	WDR46	UTP20
71357	WDR46	BMS1
71358	WDR46	WDR3
71359	WDR46	PDCD11
71360	WDR46	RRP36
71361	WDR46	UTP6
71362	WDR46	PWP2
71363	WDR46	DDX52
71364	WDR46	DCAF13
71365	WDR46	DHX37
71366	WDR46	NOL6
71367	WDR46	NOC4L
71368	WDR46	RPS7
71369	WDR46	MPHOSPH10
71370	WDR46	TBL3
71371	WDR46	WDR75
71372	WDR46	HEATR1
71373	WDR46	DDX49
71374	WDR46	UTP18
71375	WDR46	NOP58
71376	WDR46	IMP3
71377	WDR46	RRP7A
71378	WDR46	UTP15
71379	WDR46	RRP9
71380	WDR47	TCEA2
71381	WDR47	CHFR
71382	WDR47	FAM107A
71383	WDR48	USP1
71384	WDR48	USP12
71385	WDR5	YY1
71386	WDR5	CREBBP
71387	WDR5	POLR2F
71388	WDR5	RUVBL2
71389	WDR5	HCFC1
71390	WDR5	TADA2A
71391	WDR5	MEN1
71392	WDR5	RUVBL1
71393	WDR5	MCC
71394	WDR5	POLR2J
71395	WDR5	ATN1
71396	WDR5	CUL4A
71397	WDR5	RBBP5
71398	WDR5	JUN
71399	WDR5	EP300
71400	WDR5	EGR2
71401	WDR5	TAF1
71402	WDR5	POLR2E
71403	WDR5	DDB1
71404	WDR5	POLR2C
71405	WDR5	CUL4B
71406	WDR5B	DDB1
71407	WDR5B	CUL4B
71408	WDR5B	ESR1
71409	WDR60	DYNLL2
71410	WDR60	DYNLL1
71411	WDR60	TCTE3
71412	WDR60	TTC21B
71413	WDR60	IFT74
71414	WDR60	DYNC2LI1
71415	WDR60	DYNLRB2
71416	WDR60	WDR35
71417	WDR60	IFT81
71418	WDR60	IFT88
71419	WDR60	DYNC2H1
71420	WDR60	TRAF3IP1
71421	WDR60	WDR19
71422	WDR60	IFT80
71423	WDR60	IFT140
71424	WDR60	CLUAP1
71425	WDR61	CUL4B
71426	WDR61	CTR9
71427	WDR61	PAF1
71428	WDR61	ACVR1
71429	WDR61	EZH2
71430	WDR61	MNAT1
71431	WDR61	TGFBR1
71432	WDR61	POLR2E
71433	WDR61	SMURF1
71434	WDR62	MAPK9
71435	WDR62	TBP
71436	WDR74	RGS2
71437	WDR75	RPS7
71438	WDR75	HEATR1
71439	WDR75	UTP3
71440	WDR75	UTP18
71441	WDR75	RRP9
71442	WDR75	DHX37
71443	WDR75	DDX52
71444	WDR75	UTP6
71445	WDR75	FBL
71446	WDR75	NOC4L
71447	WDR75	WDR3
71448	WDR75	MPHOSPH10
71449	WDR75	PWP2
71450	WDR75	TBL3
71451	WDR75	KRR1
71452	WDR75	IMP3
71453	WDR75	IMP4
71454	WDR75	DDX49
71455	WDR75	UTP15
71456	WDR75	NOL6
71457	WDR75	NOP58
71458	WDR75	DCAF13
71459	WDR75	RRP36
71460	WDR75	NOL11
71461	WDR75	UTP20
71462	WDR76	CUL4B
71463	WDR77	SNRPD3
71464	WDR77	ARRB1
71465	WDR77	MYC
71466	WDR77	SNRPE
71467	WDR77	PRMT5
71468	WDR77	SNRPF
71469	WDR77	ARRB2
71470	WDR77	SNRPD2
71471	WDR77	YWHAQ
71472	WDR77	SNRPD1
71473	WDR77	CTDP1
71474	WDR77	YWHAB
71475	WDR77	CLNS1A
71476	WDR82	CUL4B
71477	WDR82	WDR5
71478	WDR82	PPP3CB
71479	WDR82	PPP1CC
71480	WDR82	WDR33
71481	WDR82	PPP2CA
71482	WDR82	CXXC1
71483	WDR82	CPSF1
71484	WDR82	PPP2CB
71485	WDR82	SSU72
71486	WDR82	CPSF4
71487	WDR82	PPP3CA
71488	WDR82	PPP4R2
71489	WDR82	SETD1A
71490	WDR82	SETD1B
71491	WDR82	ASH2L
71492	WDR82	PPP1CB
71493	WDR82	RBBP5
71494	WDR89	PHYHIP
71495	WDR89	POLR3F
71496	WDR89	GCOM1
71497	WDR89	POLR2M
71498	WDR91	STX8
71499	WDR91	ARIH2
71500	WDR91	SDCBP
71501	WDR92	MAP3K3
71502	WDR97	FBXW7
71503	WDTC1	VCL
71504	WDTC1	MED23
71505	WDYHV1	RBBP8
71506	WDYHV1	TRIP13
71507	WDYHV1	SFN
71508	WDYHV1	HPRT1
71509	WDYHV1	XIAP
71510	WDYHV1	JUP
71511	WDYHV1	MDFI
71512	WDYHV1	BLOC1S6
71513	WDYHV1	RABAC1
71514	WDYHV1	PCBD1
71515	WDYHV1	RPIA
71516	WDYHV1	COIL
71517	WEE1	PIN1
71518	WEE1	SKP2
71519	WEE1	BTRC
71520	WEE1	CSNK2A1
71521	WEE1	CDK1
71522	WEE1	CRK
71523	WEE1	PLK1
71524	WEE1	CDK2
71525	WEE1	SMAD3
71526	WEE1	ARRB2
71527	WFDC2	PTN
71528	WFS1	CFTR
71529	WHRN	CASK
71530	WHRN	LRP4
71531	WHRN	MYO7A
71532	WIF1	WNT9A
71533	WIPF1	CRKL
71534	WIPF1	NCK1
71535	WIPF1	PRKCQ
71536	WIPF2	WASL
71537	WIPF2	PFN1
71538	WIPF2	NCK2
71539	WIPF2	WAS
71540	WIPF2	ACTR3
71541	WIPF2	MYH9
71542	WIPF2	MYO1C
71543	WIPF2	DNMBP
71544	WIPF2	MYO9B
71545	WIPF2	ARPC2
71546	WIPF2	MYO5A
71547	WIPF2	ACTR2
71548	WIPF2	MYO10
71549	WIPF2	ARPC5
71550	WIPF3	DNMBP
71551	WIPI1	PPA1
71552	WIPI1	KCTD15
71553	WIPI1	ESR1
71554	WIPI1	ESR2
71555	WIPI1	AR
71556	WIPI2	ATG12
71557	WIPI2	STRN4
71558	WIPI2	COPS6
71559	WISP1	DCN
71560	WISP2	IGF1R
71561	WISP2	IGF2R
71562	WIZ	EHMT2
71563	WLS	WNT5B
71564	WLS	WNT7A
71565	WLS	SNX3
71566	WLS	VPS29
71567	WLS	WNT16
71568	WLS	VPS35
71569	WLS	WNT1
71570	WLS	WNT3
71571	WLS	WNT5A
71572	WLS	WNT4
71573	WLS	WNT2
71574	WLS	VPS26A
71575	WLS	WNT7B
71576	WLS	WNT3A
71577	WNK1	SYT2
71578	WNK1	MAP3K3
71579	WNK1	MAP3K2
71580	WNK1	YWHAG
71581	WNK1	E2F3
71582	WNK1	AKT1
71583	WNK2	ATXN1
